Nama Kabupaten/Kota,Jumlah Produksi Sampah (Ton),Tahun Pencatatan,Tahun,Total Sampah (Ton),Total Pertahun
KABUPATEN SUMEDANG,,,2019.0,,436.96
KABUPATEN INDRAMAYU,,,2019.0,,1071.05
KABUPATEN SUBANG,,,2019.0,,1012.45
KABUPATEN PURWAKARTA,,,2019.0,,384.43
KABUPATEN KARAWANG,,,2019.0,,934.4
KABUPATEN BEKASI,,,2019.0,,2590.0
KABUPATEN BANDUNG BARAT,,,2019.0,,1124.5
KABUPATEN PANGANDARAN,,,2019.0,,250.23
KOTA BOGOR,,,2019.0,,620.55
KOTA SUKABUMI,,,2019.0,,172.82
KOTA BANDUNG,,,2019.0,,1575.73
KOTA CIREBON,,,2019.0,,245.0
KOTA BEKASI,,,2019.0,,2060.7
KOTA DEPOK,,,2019.0,,1469.77
KOTA CIMAHI,,,2019.0,,267.74
KOTA TASIKMALAYA,,,2019.0,,291.6
KOTA BANJAR,,,2019.0,,100.67
KABUPATEN BOGOR,,,2020.0,,2977.0
KABUPATEN SUKABUMI,,,2020.0,,1006.0
KABUPATEN CIANJUR,,,2020.0,,1117.0
KABUPATEN BANDUNG,,,2020.0,,1355.0
KABUPATEN GARUT,,,2020.0,,1151.0
KABUPATEN TASIKMALAYA,,,2020.0,,754.0
KABUPATEN CIAMIS,,,2020.0,,564.0
KABUPATEN KUNINGAN,,,2020.0,,540.0
KABUPATEN CIREBON,,,2020.0,,1096.0
KABUPATEN MAJALENGKA,,,2020.0,,518.0
KABUPATEN SUMEDANG,,,2020.0,,438.0
KABUPATEN INDRAMAYU,,,2020.0,,1077.0
KABUPATEN SUBANG,,,2020.0,,1023.0
KABUPATEN PURWAKARTA,,,2020.0,,388.0
KABUPATEN KARAWANG,,,2020.0,,942.0
KABUPATEN BEKASI,,,2020.0,,2258.0
KABUPATEN BANDUNG BARAT,,,2020.0,,1135.0
KABUPATEN PANGANDARAN,,,2020.0,,252.0
KOTA BOGOR,,,2020.0,,567.0
KOTA SUKABUMI,,,2020.0,,181.0
KOTA BANDUNG,,,2020.0,,1630.0
KOTA CIREBON,,,2020.0,,192.0
KOTA BEKASI,,,2020.0,,1923.0
KOTA DEPOK,,,2020.0,,1516.0
KOTA CIMAHI,,,2020.0,,369.0
KOTA TASIKMALAYA,,,2020.0,,285.0
KOTA BANJAR,,,2020.0,,79.0
KABUPATEN BOGOR,,,2021.0,,971.59
KABUPATEN SUKABUMI,,,2021.0,,356.02
KABUPATEN CIANJUR,,,2021.0,,355.69
KABUPATEN BANDUNG,,,2021.0,,1489.04
KABUPATEN GARUT,,,2021.0,,321.17
KABUPATEN TASIKMALAYA,,,2021.0,,172.26
KABUPATEN CIAMIS,,,2021.0,,159.41
KABUPATEN KUNINGAN,,,2021.0,,405.76
KABUPATEN CIREBON,,,2021.0,,242.52
KABUPATEN MAJALENGKA,,,2021.0,,546.54
KABUPATEN SUMEDANG,,,2021.0,,707.75
KABUPATEN INDRAMAYU,,,2021.0,,792.48
KABUPATEN SUBANG,,,2021.0,,739.6
KABUPATEN PURWAKARTA,,,2021.0,,239.72
KABUPATEN KARAWANG,,,2021.0,,614.61
KABUPATEN BEKASI,,,2021.0,,1193.76
KABUPATEN BANDUNG BARAT,,,2021.0,,201.09
KABUPATEN PANGANDARAN,,,2021.0,,46.62
KOTA BOGOR,,,2021.0,,719.72
KOTA SUKABUMI,,,2021.0,,232.06
KOTA BANDUNG,,,2021.0,,1529.04
KOTA CIREBON,,,2021.0,,229.75
KOTA BEKASI,,,2021.0,,1500.77
KOTA DEPOK,,,2021.0,,1418.87
KOTA CIMAHI,,,2021.0,,193.36
KOTA TASIKMALAYA,,,2021.0,,295.87
KOTA BANJAR,,,2021.0,,60.29
